,loss_run_1,loss_run_2,loss_run_3,loss_run_4,loss_run_5
0,11653118.0,11688789.0,11671899.0,11651212.0,11659304.0
1,11287849.0,11403165.0,11273708.0,11297747.0,11279976.0
2,10950831.0,11154902.0,10930549.0,11049803.0,10955125.0
3,10656146.0,10792389.0,10615119.0,10620528.0,10612785.0
4,10318666.0,10475608.0,10335941.0,10262305.0,10275327.0
5,10055148.0,10259881.0,10018096.0,10022992.0,10129896.0
6,9811343.0,10002734.0,9896267.0,9821119.0,10007915.0
7,9558080.0,9845582.0,9590573.0,9573087.0,9769182.0
8,9509301.0,9559393.0,9643174.0,9612962.0,9691046.0
9,9412763.0,9622750.0,9465230.0,9652712.0,9534525.0
10,9426576.0,9557747.0,9600185.0,9784874.0,9436170.0
11,9383263.0,9593387.0,9582331.0,9528265.0,9442185.0
12,9424420.0,9346246.0,9697388.0,9486284.0,9410320.0
13,9280530.0,9459300.0,9454362.0,9363021.0,9331241.0
14,9299565.0,9513837.0,9459713.0,9314567.0,9493289.0
15,9278895.0,9425842.0,9453511.0,9232698.0,9379034.0
16,9199437.0,9257858.0,9422845.0,9358797.0,9178746.0
17,9148635.0,9277131.0,9440119.0,9273564.0,9110373.0
18,9159642.0,9182029.0,9245820.0,9223241.0,9039473.0
19,9171303.0,9195395.0,9284416.0,9098431.0,9163783.0
20,9081095.0,9096040.0,9271618.0,9179704.0,9002953.0
21,9284837.0,9018993.0,9360998.0,9195022.0,9048873.0
22,9059914.0,8942657.0,9210115.0,9109191.0,9018873.0
23,8896090.0,8977703.0,8961769.0,9007854.0,8901220.0
24,8948215.0,8971165.0,8968901.0,9141102.0,8983587.0
25,9138653.0,8751692.0,8966216.0,9081019.0,8831733.0
26,8853641.0,8837397.0,8941487.0,9061001.0,8761524.0
27,8792031.0,8891499.0,8839644.0,8955318.0,8747177.0
28,8920553.0,8747471.0,9023978.0,8874508.0,8689726.0
29,8949246.0,8663566.0,8810447.0,8865331.0,8638028.0
30,8920508.0,8724244.0,8892208.0,8830747.0,8604427.0
31,8785588.0,8687682.0,8894249.0,8837857.0,8591695.0
32,8809680.0,8546522.0,8689813.0,8891946.0,8554537.0
33,8793306.0,8536092.0,8858270.0,8605096.0,8431606.0
34,8689499.0,8472618.0,8670407.0,8654336.0,8454371.0
35,8713492.0,8484049.0,8525029.0,8679247.0,8582049.0
36,8666580.0,8470318.0,8548750.0,8608476.0,8412440.0
37,8754922.0,8705438.0,8469952.0,8495739.0,8217329.0
38,8510472.0,8581665.0,8501430.0,8653049.0,8243474.0
39,8455964.0,8756634.0,8365930.5,8560060.0,8318770.0
40,8684839.0,8762309.0,8459003.0,8456412.0,8209757.0
41,8640455.0,8592125.0,8435861.0,8530368.0,8201505.5
42,8389811.0,8366277.0,8395964.0,8453233.0,8154831.0
43,8520036.0,8350987.0,8568669.0,8341441.5,8404122.0
44,8420654.0,8418896.0,8236955.0,8325320.5,8150121.5
45,8393347.0,8282662.5,8497788.0,8283648.5,8114604.0
46,8388998.0,8435967.0,8372430.0,8150571.0,8092324.0
47,8447062.0,8365421.0,8124251.0,8156477.0,8174564.0
48,8301494.5,8286489.0,8311142.0,8170144.0,8034964.5
49,8264920.5,8293675.5,8129987.0,8208177.5,7819064.5
50,8272862.5,8014157.0,8180542.0,8176964.0,7847087.5
51,8207532.0,8314569.0,8298703.5,8018939.5,7763584.0
52,8070503.5,8281770.0,8074302.0,7970919.5,7864335.0
53,8235836.0,8276393.0,8143023.5,8043913.0,7687070.0
54,8110042.5,8230796.0,8230563.5,7997225.0,7571518.0
55,8289677.0,8305675.0,8156500.5,7986935.0,7705805.0
56,8265397.0,7806102.5,8290309.0,7994108.0,7665524.5
57,8029099.5,7937826.5,8183987.0,7992421.0,7291645.5
58,8045418.0,8255868.0,8066623.0,7846816.0,8062620.0
59,7955825.0,8164755.5,8159480.5,7862540.0,7913970.0
60,7875239.5,7909607.5,7865984.0,7737522.0,7769585.5
61,7795740.5,7932122.5,8074911.0,7772960.5,7746697.5
62,8007694.5,8079566.0,8080083.5,7944474.5,7903028.5
63,8078026.5,7824919.5,8049091.0,7799380.0,7825982.5
64,7930758.0,7811422.5,7625891.0,7812045.0,7597265.5
65,8008960.5,7894089.0,7671254.5,7723049.0,7823547.5
66,7994373.5,7890411.0,7690945.5,7620073.0,7949944.5
67,8098770.5,7605770.5,7964900.0,7712900.5,7835674.5
68,7759300.5,7705263.5,8003232.0,7660455.0,7584253.0
69,7800323.0,7580070.5,8082452.5,7636728.0,7627166.0
70,7654776.0,7598869.0,7989262.5,7598976.5,7753263.0
71,7693476.5,7680675.0,7869909.5,7547904.0,7403452.0
72,7724619.0,7284545.5,7745030.5,7570176.0,7322471.5
73,7686915.0,7739428.0,7817167.5,7482988.0,7186460.5
74,7525859.5,7762704.5,7905362.5,7394921.0,7120486.5
75,7642874.0,7495744.0,7507131.5,7628042.5,7135671.0
76,7689592.5,7468909.5,7480815.5,7394632.0,7197766.0
77,7654301.5,7527822.5,7598920.0,7601574.5,7099070.0
78,7464509.5,7231428.5,7633379.5,7608308.5,6981210.0
79,7211352.5,7577913.0,7528671.5,7681864.0,6849247.0
80,7245681.5,7624508.0,7495128.5,7302342.0,7083404.5
81,7359659.0,7433998.0,7486869.5,7273276.5,7093955.0
82,7532232.0,7740164.0,7461695.0,7463266.0,7242516.0
83,7738938.0,7538236.0,7636658.0,7230570.0,6931417.5
84,7391850.0,7339631.5,7523293.5,7248665.5,6937938.5
85,7804480.0,7262442.0,7271346.5,7182889.0,6897640.0
86,7396906.5,7184503.0,7250647.5,6903655.5,6941253.5
87,7323982.5,7190581.5,7625637.5,7219687.0,6777490.5
88,7143718.5,7370577.0,7417802.0,7025769.0,6680930.0
89,7088768.5,6898269.5,7373318.5,6993633.5,6669862.0
90,7221222.0,7045565.5,7034837.5,7124583.0,7028600.5
91,7014182.5,7008466.5,7318106.5,6985412.5,6790674.5
92,7183258.5,7140194.0,7140540.5,7070291.5,6820311.0
93,6988262.0,7039882.0,7125321.5,7049681.0,6928289.5
94,7061972.5,6985475.5,6853512.0,7179601.5,6787741.0
95,7128246.0,7184364.5,7111726.0,7011926.0,6694524.5
96,7240197.0,6992188.5,7319567.0,6944248.0,6511189.0
97,6979963.0,7143599.0,6833108.5,7063905.0,6407699.0
98,6960460.0,7020853.5,7253586.0,6925947.5,6584539.0
99,6890893.5,6943089.0,7302816.0,6858153.0,6435403.0
100,7045324.5,6807810.5,7138271.5,6677887.5,6607519.0
101,6822381.5,6923388.5,7106875.0,7262924.0,6870106.5
102,6859681.5,7108216.0,7220184.0,7085691.5,6393535.0
103,7014259.5,6910449.0,7525140.0,6738216.0,6786688.0
104,6760265.5,6962372.0,7348896.5,6804765.0,6734503.0
